material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0001,234.7,177.0,0.0414,0.0415,0.317134,dimension_line,411619.0,740,558,"[6892, 86, 7632, 644]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0002,233.1,109.4,0.0185,0.0255,0.317134,dimension_line,183593.0,735,345,"[6895, 89, 7630, 434]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0003,68.2,40.9,0.0027,0.0028,0.317134,dimension_line,27266.0,215,129,"[6895, 132, 7110, 261]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0004,33.6,16.8,0.0005,0.0006,0.317134,dimension_line,5459.0,106,53,"[6948, 192, 7054, 245]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0005,201.7,84.0,0.006,0.017,0.317134,dimension_line,59400.0,636,265,"[6072, 196, 6708, 461]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0006,30.1,28.5,0.0001,0.0009,0.317134,dimension_line,1197.0,95,90,"[1910, 199, 2005, 289]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0007,85.0,55.2,0.0043,0.0047,0.317134,dimension_line,42760.0,268,174,"[6203, 241, 6471, 415]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0008,68.2,27.0,0.0018,0.0018,0.317134,dimension_line,17974.0,215,85,"[6895, 262, 7110, 347]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0009,33.9,17.1,0.0006,0.0006,0.317134,dimension_line,5616.0,107,54,"[6948, 278, 7055, 332]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0010,74.2,78.3,0.0033,0.0058,0.317134,dimension_line,32546.5,234,247,"[1667, 294, 1901, 541]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0011,258.5,79.0,0.0136,0.0204,0.317134,dimension_line,134993.0,815,249,"[852, 349, 1667, 598]",ИЛ ТИТ © Натуральный камень 30 мм
